date,open,high,low,close,volume
1992-06-26,0.3281,0.3477,0.3203,0.3359,224358400
1992-06-29,0.3398,0.3672,0.332,0.3594,58732800
1992-06-30,0.3672,0.3711,0.3438,0.3477,34777600
1992-07-01,0.3516,0.3594,0.3398,0.3555,18316800
1992-07-02,0.3594,0.3594,0.3477,0.3555,13996800
1992-07-06,0.3516,0.3555,0.3477,0.3555,5753600
1992-07-07,0.3555,0.3555,0.3477,0.3555,10662400
1992-07-08,0.3555,0.3555,0.3438,0.3477,15500800
1992-07-09,0.3516,0.3594,0.3477,0.3594,3923200
1992-07-10,0.3594,0.3672,0.3516,0.3633,11040000
1992-07-13,0.3633,0.3711,0.3594,0.3711,5996800
1992-07-14,0.3711,0.3828,0.3672,0.3711,17062400
1992-07-15,0.375,0.3828,0.3711,0.3828,4992000
1992-07-16,0.3828,0.4141,0.3789,0.4083,17062400
1992-07-17,0.4102,0.4375,0.3984,0.4297,15667200
1992-07-20,0.4278,0.4375,0.418,0.4336,19744000
1992-07-21,0.4375,0.4453,0.4297,0.4375,7782400
1992-07-22,0.4336,0.4375,0.4219,0.4336,10892800
1992-07-23,0.4336,0.4414,0.4258,0.4414,10387200
1992-07-24,0.4336,0.4492,0.4297,0.4453,7052800
1992-07-27,0.4492,0.4648,0.4453,0.4552,11430400
1992-07-28,0.4609,0.4648,0.4297,0.4375,18009600
1992-07-29,0.4375,0.4375,0.4063,0.4159,30848000
1992-07-30,0.4102,0.418,0.4023,0.4141,11737600
1992-07-31,0.4141,0.418,0.4063,0.4159,6886400
1992-08-03,0.4102,0.4258,0.4102,0.4198,4832000
1992-08-04,0.4219,0.4297,0.4122,0.4278,6822400
1992-08-05,0.4258,0.4258,0.4023,0.4102,9516800
1992-08-06,0.4063,0.4102,0.3984,0.4102,3673600
1992-08-07,0.4102,0.4258,0.3984,0.4258,8825600
1992-08-10,0.418,0.4336,0.4141,0.4258,5888000
1992-08-11,0.4336,0.4336,0.4219,0.4297,4147200
1992-08-12,0.4219,0.4258,0.4023,0.4102,12736000
1992-08-13,0.4102,0.4159,0.4023,0.4102,48320000
1992-08-14,0.4063,0.4141,0.3828,0.3867,17849600
