"Literacy rate, adult (% ages 15 and older)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"168"," Afghanistan","","","","","","","","","","","31.7","","","","","","","","","","",""
"68"," Albania","","","","","","","","","","","96.8","","97.2","","","","","","","","",""
"35"," Andorra","","","","","","","","","","","","","","","","","","","100.0","","100.0",""
"147"," Angola","","","","","","","","","","","","","","","","","66.0","","","","",""
"47"," Argentina","","","","","","","","","","","","","","","","","","","98.1","","",""
"83"," Armenia","","","","","","","","","","","99.7","","","","","","","","","","",""
"80"," Azerbaijan","","","","","","","","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8",""
"43"," Bahrain","","","","","","","","","94.6","","","","","","","","","","","","",""
"136"," Bangladesh","","","","","","","","","","","47.1","","","","","","","","","","72.8",""
"163"," Benin","","","","","","","","","","","","","32.9","","","","","","","","",""
"134"," Bhutan","","","","","","","52.8","","","","","","57.0","","","","","","","","",""
"118"," Bolivia (Plurinational State of)","","","","","","","","","","","92.2","","94.5","","","","","","92.5","","",""
"77"," Bosnia and Herzegovina","","","","","96.7","","","","","","98.1","","","","97.0","","","","","","",""
"79"," Brazil","","","","","86.4","","","","90.4","","91.4","","91.3","","91.5","","91.7","","","","",""
"39"," Brunei Darussalam","","","","","","","","","","","96.1","","","","","","","","","","",""
"51"," Bulgaria","","","","","","","","","","","98.4","","","","","","","","","","",""
"183"," Burkina Faso","","","","","","","23.6","","","","","","","","","","34.6","","","","",""
"185"," Burundi","37.4","","","","59.3","","","","","","","","","","","","61.6","","","","",""
"125"," Cabo Verde","62.8","","","","","","","","","","","","85.3","","","","","","86.8","","",""
"151"," Cameroon","","","","","68.4","","","","71.3","","","","","","","","","","","","",""
"188"," Central African Republic","","","","","50.6","","","","36.8","","","","","","","","","","","","",""
"186"," Chad","","","","","25.7","","","","","","","","","","","","","","26.0","","22.3",""
"44"," Chile","","","","","","","","","","","96.7","","","","96.3","","","","","","",""
"86"," China","77.8","","","","90.9","","","","95.1","","","","","","","","","","","","",""
"90"," Colombia","","","","","","","92.8","","93.4","","93.6","","","","","","94.2","","94.2","","",""
"165"," Comoros","","","","","68.5","","","","","","","","49.2","","","","","","","","",""
"137"," Congo","","","","","","","","","","","79.3","","","","","","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","","","","","","","","","","75.0","","","","","","","","77.0",""
"63"," Costa Rica","","","","","94.9","","","","","","97.4","","","","","","","","","","",""
"46"," Croatia","","","","","","","","","","","99.1","","","","","","","","","","",""
"73"," Cuba","","","","","","","","","","","","","99.8","","","","","","","","",""
"32"," Cyprus","","","","","","","","","","","98.7","","","","","","","","","","",""
"170"," Côte d'Ivoire","","","","","48.7","","","","","","","","41.0","","","","43.9","","","","",""
"94"," Dominican Republic","","","","","","","","","89.5","","90.1","","90.2","","90.9","","91.8","","92.0","","",""
"86"," Ecuador","88.3","","","","","","","","91.9","","91.6","","92.1","","93.3","","94.2","","94.5","","94.3",""
"115"," Egypt","","","","","","","71.4","","72.0","","","","73.9","","75.1","","","","","","",""
"121"," El Salvador","","","","","","","","","84.5","","85.5","","","","86.8","","","","88.0","","",""
"141"," Equatorial Guinea","","","","","88.3","","","","","","","","","","","","","","","","",""
"30"," Estonia","","","","","99.8","","","","","","99.9","","","","","","","","","","",""
"144"," Eswatini (Kingdom of)","","","","","81.7","","","","83.1","","","","","","","","","","","","",""
