"Median age (years)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"168"," Afghanistan","15.9","","16.0","","15.7","","16.1","","16.0","","17.3",""
"68"," Albania","24.1","","24.7","","27.1","","29.2","","32.3","","36.2",""
"85"," Algeria","18.0","","19.4","","21.7","","24.1","","26.0","","27.5",""
"147"," Angola","15.8","","16.0","","16.2","","16.3","","16.3","","16.4",""
"70"," Antigua and Barbuda","24.4","","26.6","","28.3","","28.5","","29.3","","30.7",""
"47"," Argentina","27.2","","27.4","","27.9","","28.7","","29.9","","30.8",""
"83"," Armenia","27.2","","29.4","","30.6","","31.8","","32.9","","33.9",""
"3"," Australia","32.1"," a","33.6"," a","35.4"," a","36.6"," a","36.9"," a","37.4"," a"
"20"," Austria","36.5","","36.3","","38.2","","40.0","","41.9","","43.2",""
"80"," Azerbaijan","24.1"," b","24.6"," b","25.6"," b","27.1"," b","28.7"," b","30.3"," b"
"54"," Bahamas","23.6","","25.0","","27.0","","29.1","","30.9","","32.5",""
"43"," Bahrain","25.4","","26.4","","26.6","","27.8","","30.1","","31.2",""
"136"," Bangladesh","18.6","","19.5","","20.9","","22.4","","23.9","","25.6",""
"58"," Barbados","28.3","","31.1","","33.5","","35.2","","37.0","","38.5",""
"53"," Belarus","33.1","","34.7","","36.5","","38.1","","38.9","","39.6",""
"17"," Belgium","36.5","","37.6","","39.0","","40.3","","40.9","","41.3",""
"106"," Belize","17.9","","18.4","","19.2","","20.2","","21.9","","23.5",""
"163"," Benin","17.1","","17.2","","17.3","","17.6","","17.9","","18.2",""
"134"," Bhutan","17.9","","17.6","","18.8","","21.4","","23.8","","26.3",""
"118"," Bolivia (Plurinational State of)","19.1","","19.7","","20.5","","21.6","","22.8","","24.1",""
"77"," Bosnia and Herzegovina","29.8","","33.0","","34.9","","36.9","","38.9","","41.0",""
"101"," Botswana","17.5","","18.8","","20.1","","21.5","","23.0","","24.4",""
"79"," Brazil","22.4","","23.7","","25.1","","27.0","","29.0","","31.3",""
"39"," Brunei Darussalam","23.2","","24.0","","25.5","","26.8","","27.5","","30.0",""
"51"," Bulgaria","36.5","","38.2","","39.7","","41.2","","42.4","","43.5",""
"183"," Burkina Faso","16.3","","16.3","","16.4","","16.6","","16.7","","17.0",""
"185"," Burundi","16.4","","15.3","","15.3","","16.7","","17.6","","17.6",""
"125"," Cabo Verde","16.9","","17.2","","18.0","","19.7","","22.0","","23.8",""
"146"," Cambodia","17.9","","17.3","","18.1","","20.4","","22.7","","23.9",""
"151"," Cameroon","16.8","","16.9","","17.3","","17.7","","18.0","","18.3",""
"12"," Canada","32.9","","34.8","","36.8","","38.6","","39.7","","40.5",""
"188"," Central African Republic","18.4","","18.6","","18.6","","18.6","","18.5","","17.8",""
"186"," Chad","16.3","","15.9","","15.6","","15.4","","15.6","","16.1",""
"44"," Chile","25.6","","27.1","","28.9","","30.6","","32.1","","33.7",""
"86"," China","24.9","","27.3","","30.1","","32.7","","35.2","","37.0",""
"90"," Colombia","21.6","","23.0","","24.4","","26.1","","28.0","","30.1",""
"165"," Comoros","17.0","","17.1","","17.7","","18.4","","19.1","","19.7",""
"137"," Congo","17.9","","18.5","","19.0","","19.1","","19.3","","18.9",""
"176"," Congo (Democratic Republic of the)","17.4","","17.2","","17.1","","17.0","","16.9","","16.8",""
"63"," Costa Rica","23.1","","24.3","","25.6","","27.4","","29.2","","31.4",""
"46"," Croatia","35.8","","37.9","","38.9","","40.5","","41.7","","42.6",""
